Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2019-01-15 00:00:00-05:00,40.438499450683594,40.438499450683594,40.438499450683594,40.438499450683594,0,0.0,0.0,0.0
2019-01-16 00:00:00-05:00,40.41999816894531,40.439998626708984,40.41999816894531,40.438499450683594,400,0.0,0.0,0.0
2019-01-17 00:00:00-05:00,40.65999984741211,40.65999984741211,40.15530014038086,40.15530014038086,100,0.0,0.0,0.0
2019-01-18 00:00:00-05:00,39.11000061035156,39.1697998046875,39.11000061035156,39.1697998046875,101,0.0,0.0,0.0
2019-01-22 00:00:00-05:00,41.9015998840332,41.9015998840332,41.9015998840332,41.9015998840332,0,0.0,0.0,0.0
2019-01-23 00:00:00-05:00,42.1708984375,42.1708984375,42.1708984375,42.1708984375,0,0.0,0.0,0.0
2019-01-24 00:00:00-05:00,42.06999969482422,42.119998931884766,41.369998931884766,41.369998931884766,500,0.0,0.0,0.0
2019-01-25 00:00:00-05:00,40.31999969482422,40.31999969482422,39.7599983215332,39.85810089111328,700,0.0,0.0,0.0
2019-01-28 00:00:00-05:00,41.02180099487305,41.02180099487305,41.02180099487305,41.02180099487305,0,0.0,0.0,0.0
2019-01-29 00:00:00-05:00,42.15999984741211,42.472801208496094,42.15999984741211,42.472801208496094,154,0.0,0.0,0.0
2019-01-30 00:00:00-05:00,40.88999938964844,40.88999938964844,40.81990051269531,40.81990051269531,101,0.0,0.0,0.0
2019-01-31 00:00:00-05:00,35.29999923706055,35.5724983215332,35.25,35.5724983215332,1318,0.0,0.0,0.0
2019-02-01 00:00:00-05:00,35.995601654052734,35.995601654052734,35.995601654052734,35.995601654052734,16,0.0,0.0,0.0
2019-02-04 00:00:00-05:00,35.117000579833984,35.117000579833984,35.117000579833984,35.117000579833984,10,0.0,0.0,0.0
2019-02-05 00:00:00-05:00,33.88600158691406,33.88600158691406,33.88600158691406,33.88600158691406,300,0.0,0.0,0.0
2019-02-06 00:00:00-05:00,36.0880012512207,36.0880012512207,36.0880012512207,36.0880012512207,300,0.0,0.0,0.0
2019-02-07 00:00:00-05:00,37.410701751708984,37.410701751708984,37.410701751708984,37.410701751708984,17,0.0,0.0,0.0
2019-02-08 00:00:00-05:00,36.66109848022461,36.66109848022461,36.66109848022461,36.66109848022461,22,0.0,0.0,0.0
2019-02-11 00:00:00-05:00,37.576698303222656,37.576698303222656,37.576698303222656,37.576698303222656,300,0.0,0.0,0.0
2019-02-12 00:00:00-05:00,36.28559875488281,36.28559875488281,36.28559875488281,36.28559875488281,51,0.0,0.0,0.0
2019-02-13 00:00:00-05:00,36.08000183105469,36.1885986328125,35.52000045776367,36.1885986328125,201,0.0,0.0,0.0
2019-02-14 00:00:00-05:00,36.060001373291016,36.060001373291016,35.81890106201172,35.81890106201172,110,0.0,0.0,0.0
2019-02-15 00:00:00-05:00,35.48400115966797,35.48400115966797,35.48400115966797,35.48400115966797,300,0.0,0.0,0.0
2019-02-19 00:00:00-05:00,35.32789993286133,35.32789993286133,35.32789993286133,35.32789993286133,300,0.0,0.0,0.0
